excel_row,machine_group,min_gage,max_gage,min_len,max_len,gcsp,score_real,score_lp,score_lpfa,score_hv,score_nn,is_nn_pick,is_optimum,rank_real,pct_optimum
3,Drain Wire Automatic Cutting,0.3,5.0,50.0,1000.0,1.2301,44,21,21,2,44.2951,0,0,266,49.44
4,Drain Wire Automatic Cutting,0.3,5.0,1001.0,1500.0,1.7051,44,21,21,2,44.4325,0,0,378,49.44
5,Drain Wire Automatic Cutting,0.3,5.0,1501.0,2000.0,2.2101,44,21,21,2,44.4031,0,0,379,49.44
6,Drain Wire Automatic Cutting,0.3,5.0,2001.0,2500.0,2.7451,44,21,21,2,44.3322,0,0,383,49.44
7,Drain Wire Automatic Cutting,0.3,5.0,2501.0,3000.0,3.3101,44,21,21,2,44.2385,0,0,382,49.44
8,Drain Wire Automatic Cutting,0.3,5.0,3001.0,3500.0,3.9051,44,21,21,2,44.1959,0,0,384,49.44
9,Drain Wire Automatic Cutting,0.3,5.0,3501.0,4000.0,4.5301,44,21,21,2,44.1763,0,0,385,49.44
10,Drain Wire Automatic Cutting,0.3,5.0,4001.0,4500.0,5.1851,44,21,21,2,44.1645,0,0,388,49.44
11,Drain Wire Automatic Cutting,0.3,5.0,4501.0,5000.0,5.8701,44,21,21,2,44.1564,0,0,389,49.44
12,Drain Wire Automatic Cutting,0.3,5.0,5001.0,5500.0,6.5851,44,21,21,2,44.1613,0,0,386,49.44
13,Drain Wire Automatic Cutting,0.3,5.0,5501.0,6000.0,7.3051,44,21,21,2,44.1728,0,0,387,49.44
14,Drain Wire Automatic Cutting,0.3,5.0,6001.0,6500.0,8.0251,44,21,21,2,44.1836,0,0,391,49.44
15,Drain Wire Automatic Cutting,0.3,5.0,6501.0,7000.0,8.7451,44,21,21,2,44.1881,0,0,390,49.44
16,Drain Wire Automatic Cutting,0.3,5.0,7001.0,7500.0,9.4651,44,21,21,2,44.1878,0,0,393,49.44
17,Drain Wire Automatic Cutting,0.3,5.0,7501.0,8000.0,10.1851,44,21,21,2,44.1775,0,0,392,49.44
18,Drain Wire Automatic Cutting,0.3,5.0,8001.0,8500.0,10.9051,44,21,21,2,44.1565,0,0,394,49.44
19,Drain Wire Automatic Cutting,0.3,5.0,8501.0,9000.0,11.6251,44,21,21,2,44.1324,0,0,395,49.44
20,Drain Wire Automatic Cutting,0.3,5.0,9001.0,9500.0,12.3451,44,21,21,2,44.1062,0,0,396,49.44
21,Drain Wire Automatic Cutting,0.3,5.0,9501.0,10000.0,13.0651,44,21,21,2,44.076,0,0,397,49.44
26,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,60.0,100.0,4.16,52,23,23,6,52.4119,0,0,180,58.43
27,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,101.0,1000.0,4.16,48,23,23,2,47.7671,0,0,206,53.93
28,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,1001.0,2000.0,5.43,48,23,23,2,47.9295,0,0,191,53.93
29,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,2001.0,3000.0,6.6,48,23,23,2,47.9489,0,0,205,53.93
30,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,3001.0,4000.0,7.74,48,23,23,2,47.9751,0,0,188,53.93
31,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,4001.0,5000.0,8.9,48,23,23,2,47.9845,0,0,186,53.93
32,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,5001.0,6000.0,9.99,48,23,23,2,47.982,0,0,187,53.93
33,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,6001.0,7000.0,10.68,48,23,23,2,47.9576,0,0,182,53.93
34,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,7001.0,8000.0,12.37,48,23,23,2,47.9657,0,0,185,53.93
35,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,8001.0,9000.0,13.01,48,23,23,2,47.9397,0,0,184,53.93
36,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,9001.0,10000.0,14.68,48,23,23,2,47.9448,0,0,183,53.93
37,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,10001.0,11000.0,15.35,48,23,23,2,47.9191,0,0,189,53.93
38,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,11001.0,12000.0,15.96,48,23,23,2,47.8969,0,0,207,53.93
39,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,12001.0,13000.0,16.58,48,23,23,2,47.8943,0,0,192,53.93
40,"cut coaxial twisted twin cables and multiconductor wires
FLEX RAY
ETHERNET",0.2,10.0,13001.0,14000.0,17.22,48,23,23,2,47.8879,0,0,193,53.93
45,cut heavy gage cables,6.0,10.0,60.0,100.0,3.34,81,38,38,5,80.5398,0,0,66,91.01
46,cut heavy gage cables,6.0,10.0,101.0,1000.0,3.34,76,38,38,0,75.9398,0,0,84,85.39
47,cut heavy gage cables,6.0,10.0,1001.0,2000.0,5.55,76,38,38,0,75.9348,0,0,99,85.39
48,cut heavy gage cables,6.0,10.0,2001.0,3000.0,7.76,76,38,38,0,75.9364,0,0,98,85.39
49,cut heavy gage cables,6.0,10.0,3001.0,4000.0,9.97,76,38,38,0,75.9377,0,0,96,85.39
50,cut heavy gage cables,6.0,10.0,4001.0,5000.0,12.19,76,38,38,0,75.9383,0,0,97,85.39
51,cut heavy gage cables,6.0,10.0,5001.0,6000.0,14.4,76,38,38,0,75.9384,0,0,95,85.39
52,cut heavy gage cables,6.0,10.0,6001.0,9000.0,18.82,76,38,38,0,75.9342,0,0,94,85.39
53,cut heavy gage cables,6.0,10.0,9001.0,11000.0,23.24,76,38,38,0,75.9297,0,0,93,85.39
54,cut heavy gage cables,6.0,10.0,11001.0,13000.0,28.69,76,38,38,0,75.9181,0,0,92,85.39
59,cut heavy gage cables,11.0,35.0,60.0,100.0,6.48,81,38,38,5,80.6075,0,0,65,91.01
60,cut heavy gage cables,11.0,35.0,101.0,1000.0,6.48,76,38,38,0,75.9342,0,0,91,85.39
61,cut heavy gage cables,11.0,35.0,1001.0,2000.0,7.44,76,38,38,0,75.9453,0,0,90,85.39
62,cut heavy gage cables,11.0,35.0,2001.0,3000.0,8.46,76,38,38,0,75.948,0,0,73,85.39
63,cut heavy gage cables,11.0,35.0,3001.0,4000.0,21.72,76,38,38,0,75.9343,0,0,72,85.39
64,cut heavy gage cables,11.0,35.0,4001.0,5000.0,22.5,76,38,38,0,75.9363,0,0,71,85.39
65,cut heavy gage cables,11.0,35.0,5001.0,6000.0,24.0,76,38,38,0,75.9429,0,0,70,85.39
66,cut heavy gage cables,11.0,35.0,6001.0,9000.0,27.72,76,38,38,0,75.9458,0,0,69,85.39
67,cut heavy gage cables,11.0,35.0,9001.0,11000.0,29.88,76,38,38,0,75.95,0,0,68,85.39
68,cut heavy gage cables,11.0,35.0,110001.0,13000.0,32.2,76,38,38,0,75.8468,0,0,117,85.39
73,cut heavy gage cables,36.0,50.0,60.0,100.0,6.84,87,41,41,5,86.0273,0,0,2,97.75
74,cut heavy gage cables,36.0,50.0,101.0,1000.0,6.84,82,41,41,0,81.6424,0,0,28,92.13
75,cut heavy gage cables,36.0,50.0,1001.0,2000.0,8.1,82,41,41,0,81.6421,0,0,26,92.13
76,cut heavy gage cables,36.0,50.0,2001.0,3000.0,9.42,82,41,41,0,81.6268,0,0,62,92.13
77,cut heavy gage cables,36.0,50.0,3001.0,4000.0,22.8,82,41,41,0,81.684,0,0,30,92.13
78,cut heavy gage cables,36.0,50.0,4001.0,5000.0,24.6,82,41,41,0,81.6552,0,0,27,92.13
79,cut heavy gage cables,36.0,50.0,5001.0,6000.0,26.1,82,41,41,0,81.6371,0,0,31,92.13
80,cut heavy gage cables,36.0,50.0,6001.0,9000.0,29.4,82,41,41,0,81.7142,0,0,32,92.13
81,cut heavy gage cables,36.0,50.0,9001.0,11000.0,32.52,82,41,41,0,81.7318,0,0,24,92.13
82,cut heavy gage cables,36.0,50.0,110001.0,13000.0,35.97,82,41,41,0,81.2588,0,0,25,92.13
87,cut heavy gage cables,51.0,70.0,60.0,100.0,7.38,89,42,42,5,88.2526,1,1,1,100.0
88,cut heavy gage cables,51.0,70.0,101.0,1000.0,7.38,84,42,42,0,83.9985,0,0,14,94.38
89,cut heavy gage cables,51.0,70.0,1001.0,2000.0,9.42,84,42,42,0,83.8879,0,0,21,94.38
90,cut heavy gage cables,51.0,70.0,2001.0,3000.0,11.34,84,42,42,0,83.7713,0,0,8,94.38
91,cut heavy gage cables,51.0,70.0,3001.0,4000.0,25.8,84,42,42,0,83.9462,0,0,12,94.38
